NUM_THREADS,ROW_N,COL_N,time
1,16,16384,0.000862
1,16384,16,0.001099
1,512,512,0.000963
2,16,16384,0.000758
2,16384,16,0.000682
2,512,512,0.000770
4,16,16384,0.000590
4,16384,16,0.000432
4,512,512,0.000426
8,16,16384,0.000341
8,16384,16,0.000304
8,512,512,0.000237
16,16,16384,0.000379
16,16384,16,0.000234
16,512,512,0.000134
32,16,16384,0.000518
32,16384,16,0.000172
32,512,512,0.000099
64,16,16384,0.000984
64,16384,16,0.000182
64,512,512,0.000104
