NUM_THREADS,ROW_N_A,COL_N_A,COL_N_B,time
1,32,256,32,0.001417
1,128,16,128,0.001418
1,64,64,64,0.001412
2,32,256,32,0.001264
2,128,16,128,0.000812
2,64,64,64,0.000847
4,32,256,32,0.000951
4,128,16,128,0.000417
4,64,64,64,0.000431
8,32,256,32,0.000608
8,128,16,128,0.000200
8,64,64,64,0.000292
16,32,256,32,0.000452
16,128,16,128,0.000109
16,64,64,64,0.000134
32,32,256,32,0.000626
32,128,16,128,0.000070
32,64,64,64,0.000134
64,32,256,32,0.001234
64,128,16,128,0.000059
64,64,64,64,0.000102
